序号,时间,0#AD转换器电压[X轴](V),0#AD转换器电压[Y轴](V),0#AGC电流[X轴](mA),0#AGC电流[Y轴](mA),0#DSP核心电压[X轴](V),0#DSP核心电压[Y轴](V),0#DSP端口电压[X轴](V),0#DSP端口电压[Y轴](V),0#模拟电压[X轴](V),0#模拟电压[Y轴](V),0#伺服温度[X轴](℃),0#伺服温度[Y轴](℃),0#输出电流[X轴](mA),0#输出电流[Y轴](mA),0#振镜温度[X轴](℃),0#振镜温度[Y轴](℃),0#功率[X轴](W),0#功率[Y轴](W)
72869,2025/2/26 19:54:55,5.05,5.01,53,48,1.91,1.89,3.28,3.26,9.08,9.03,43.5,46.7,26,22,43.9,43.9,6.55,6.17
72870,2025/2/26 19:54:56,5.04,5.01,53,48,1.91,1.89,3.29,3.25,9.09,9.02,43.5,46.7,13,2,43.9,44.0,6.57,6.16
72871,2025/2/26 19:54:57,5.05,5.01,53,48,1.91,1.89,3.28,3.25,9.09,9.02,43.6,46.7,23,0,43.9,44.0,6.54,6.18
72872,2025/2/26 19:54:58,5.05,5.01,53,48,1.91,1.89,3.28,3.25,9.08,9.02,43.6,46.7,11,1,43.9,44.0,6.54,6.16
72873,2025/2/26 19:54:58,5.05,5.0,53,48,1.91,1.89,3.28,3.26,9.08,9.02,43.6,46.7,-16,3,43.9,43.9,6.55,6.17
72874,2025/2/26 19:54:59,5.04,5.01,53,48,1.92,1.89,3.29,3.25,9.09,9.02,43.6,46.7,-32,-13,43.9,44.0,6.55,6.16
72875,2025/2/26 19:55:00,5.05,5.01,53,48,1.91,1.89,3.28,3.25,9.09,9.03,43.6,46.7,22,-21,44.0,43.9,6.57,6.17
72876,2025/2/26 19:55:00,5.04,5.01,53,48,1.91,1.89,3.28,3.26,9.08,9.03,43.6,46.7,-10,-27,44.0,44.0,6.54,6.16
72877,2025/2/26 19:55:01,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.09,9.03,43.5,46.7,21,-11,43.9,43.9,6.55,6.18
72878,2025/2/26 19:55:02,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.08,9.04,43.5,46.7,5,-15,44.0,44.0,6.54,6.17
72879,2025/2/26 19:55:02,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.09,9.03,43.5,46.7,-49,-19,43.9,44.0,6.52,6.19
72880,2025/2/26 19:55:03,5.05,5.0,53,48,1.91,1.89,3.29,3.25,9.08,9.02,43.6,46.7,-30,22,44.0,43.9,6.53,6.16
72881,2025/2/26 19:55:03,5.04,5.0,53,48,1.92,1.89,3.29,3.25,9.09,9.02,43.6,46.7,-20,-30,44.0,43.9,6.55,6.16
72882,2025/2/26 19:55:04,5.05,5.0,53,48,1.91,1.89,3.28,3.25,9.08,9.03,43.6,46.7,-12,-16,44.0,43.9,6.54,6.18
72883,2025/2/26 19:55:05,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.08,9.03,43.6,46.7,-42,22,44.0,43.9,6.54,6.16
72884,2025/2/26 19:55:05,5.05,5.0,53,48,1.91,1.89,3.28,3.26,9.09,9.01,43.5,46.7,5,-43,43.9,43.9,6.55,6.17
72885,2025/2/26 19:55:06,5.05,5.01,53,48,1.91,1.89,3.28,3.26,9.08,9.02,43.6,46.7,0,-24,44.0,43.9,6.54,6.17
72886,2025/2/26 19:55:07,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.08,9.02,43.6,46.7,3,12,43.9,43.9,6.54,6.16
72887,2025/2/26 19:55:07,5.05,5.01,53,48,1.92,1.89,3.28,3.26,9.08,9.03,43.6,46.7,-1,-4,43.9,43.9,6.55,6.18
72888,2025/2/26 19:55:08,5.05,5.0,53,48,1.91,1.89,3.29,3.26,9.08,9.02,43.6,46.7,14,-25,44.0,43.9,6.53,6.17
72889,2025/2/26 19:55:09,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.08,9.02,43.5,46.7,-32,4,43.9,43.9,6.56,6.17
72890,2025/2/26 19:55:09,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.09,9.02,43.5,46.7,4,-26,43.9,43.9,6.54,6.17
72891,2025/2/26 19:55:10,5.05,5.01,53,48,1.91,1.89,3.29,3.26,9.08,9.02,43.5,46.7,22,-2,43.9,43.9,6.58,6.16
72892,2025/2/26 19:55:11,5.05,5.01,53,48,1.91,1.89,3.29,3.26,9.09,9.03,43.5,46.7,15,-1,43.9,44.0,6.55,6.16
72893,2025/2/26 19:55:11,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.08,9.02,43.5,46.7,56,-42,43.9,44.0,6.52,6.16
72894,2025/2/26 19:55:12,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.08,9.02,43.5,46.7,18,-13,43.9,44.0,6.54,6.16
72895,2025/2/26 19:55:12,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.09,9.02,43.5,46.7,-5,-15,43.9,43.9,6.53,6.18
72896,2025/2/26 19:55:13,5.04,5.01,53,48,1.91,1.89,3.29,3.25,9.13,9.02,43.5,46.7,-252,-133,43.9,43.9,6.55,6.19
72897,2025/2/26 19:55:13,5.05,5.0,53,48,1.91,1.89,3.28,3.26,9.08,9.03,43.5,46.7,-383,-121,43.9,43.9,6.54,6.18
72898,2025/2/26 19:55:14,5.04,5.01,53,48,1.91,1.89,3.29,3.25,9.08,9.03,43.5,46.7,-34,-28,43.9,43.9,6.54,6.18
72899,2025/2/26 19:55:15,5.05,5.01,53,48,1.91,1.89,3.28,3.26,9.1,9.02,43.6,46.7,0,3,44.0,44.0,6.58,6.17
72900,2025/2/26 19:55:15,5.06,5.01,53,48,1.91,1.89,3.28,3.25,9.08,9.03,43.6,46.7,-30,-92,43.9,43.9,6.55,6.15
72901,2025/2/26 19:55:16,5.04,5.0,53,48,1.91,1.89,3.29,3.25,9.09,9.02,43.5,46.7,-1,-10,43.9,43.9,6.55,6.18
72902,2025/2/26 19:55:17,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.08,9.02,43.5,46.7,29,-1,43.9,44.0,6.54,6.17
72903,2025/2/26 19:55:17,5.04,5.01,53,48,1.91,1.89,3.29,3.26,9.09,9.03,43.5,46.7,-8,-17,43.9,44.0,6.56,6.19
72904,2025/2/26 19:55:18,5.04,5.0,53,48,1.91,1.89,3.29,3.25,9.09,9.03,43.5,46.7,15,-30,43.9,43.9,6.55,6.18
72905,2025/2/26 19:55:19,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.09,9.02,43.6,46.7,15,2,44.0,43.9,6.57,6.17
72906,2025/2/26 19:55:19,5.05,5.01,53,48,1.91,1.89,3.29,3.26,9.09,9.03,43.6,46.7,19,7,44.0,43.9,6.56,6.18
72907,2025/2/26 19:55:20,5.05,5.01,53,48,1.91,1.89,3.29,3.26,9.09,9.03,43.5,46.7,-8,-24,43.9,43.9,6.56,6.18
72908,2025/2/26 19:55:20,5.04,5.0,53,48,1.91,1.89,3.28,3.25,9.07,9.03,43.6,46.7,40,-104,44.0,43.9,6.55,6.18
72909,2025/2/26 19:55:21,5.05,5.01,53,48,1.91,1.89,3.28,3.26,9.08,9.03,43.6,46.7,-40,16,44.0,44.0,6.54,6.17
72910,2025/2/26 19:55:22,5.04,5.01,53,48,1.91,1.89,3.28,3.25,9.09,9.02,43.6,46.7,-10,-26,44.0,44.0,6.53,6.17
72911,2025/2/26 19:55:22,5.05,5.0,53,48,1.91,1.89,3.29,3.26,9.09,9.02,43.6,46.7,11,0,44.0,44.0,6.54,6.16
72912,2025/2/26 19:55:23,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.08,9.02,43.6,46.7,7,7,44.0,44.0,6.55,6.16
72913,2025/2/26 19:55:23,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.08,9.02,43.6,46.7,-7,-22,44.0,44.0,6.55,6.18
72914,2025/2/26 19:55:24,5.05,5.01,53,48,1.91,1.89,3.28,3.26,9.08,9.02,43.6,46.7,16,-29,44.0,43.9,6.56,6.17
72915,2025/2/26 19:55:24,5.05,5.0,53,48,1.91,1.89,3.29,3.25,9.08,9.02,43.6,46.7,8,-3,44.0,44.0,6.55,6.16
72916,2025/2/26 19:55:25,5.06,5.01,53,48,1.91,1.89,3.28,3.26,9.08,9.03,43.6,46.7,12,-20,44.0,43.9,6.54,6.18
72917,2025/2/26 19:55:26,5.07,5.0,53,48,1.91,1.89,3.29,3.26,9.08,9.03,43.5,46.7,28,-11,43.9,44.0,6.55,6.17
72918,2025/2/26 19:55:27,5.05,5.01,53,48,1.91,1.89,3.29,3.26,9.08,9.03,43.6,46.7,13,-23,44.0,43.9,6.55,6.16
72919,2025/2/26 19:55:27,5.05,5.0,53,48,1.91,1.89,3.29,3.26,9.08,9.03,43.6,46.7,3,-19,44.0,44.0,6.55,6.17
72920,2025/2/26 19:55:28,5.04,5.01,53,48,1.91,1.89,3.28,3.25,9.08,9.02,43.6,46.7,36,9,44.0,44.0,6.54,6.17
72921,2025/2/26 19:55:28,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.09,9.03,43.6,46.7,6,9,44.0,44.0,6.55,6.17
72922,2025/2/26 19:55:29,5.05,5.0,53,48,1.91,1.89,3.28,3.25,9.09,9.02,43.6,46.7,-63,-18,44.0,44.0,6.55,6.17
72923,2025/2/26 19:55:30,5.05,5.01,53,48,1.91,1.89,3.28,3.25,9.09,9.02,43.6,46.7,43,-11,44.0,44.0,6.54,6.17
72924,2025/2/26 19:55:30,5.05,5.01,53,48,1.91,1.89,3.29,3.26,9.09,9.03,43.6,46.7,-10,6,44.0,43.9,6.54,6.17
72925,2025/2/26 19:55:31,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.09,9.02,43.6,46.7,56,-20,43.9,43.9,6.56,6.16
72926,2025/2/26 19:55:32,5.04,5.01,53,48,1.91,1.89,3.29,3.26,9.09,9.03,43.5,46.7,-28,12,43.9,44.0,6.54,6.16
72927,2025/2/26 19:55:32,5.05,5.0,53,48,1.91,1.89,3.28,3.25,9.09,9.02,43.6,46.7,-18,-13,43.9,44.0,6.54,6.17
72928,2025/2/26 19:55:33,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.09,9.03,43.5,46.7,-51,-7,43.9,43.9,6.55,6.16
72929,2025/2/26 19:55:33,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.08,9.02,43.5,46.7,-30,-6,43.9,44.0,6.55,6.17
72930,2025/2/26 19:55:34,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.08,9.03,43.5,46.7,-16,5,43.9,44.0,6.54,6.16
72931,2025/2/26 19:55:36,5.05,5.0,53,48,1.91,1.89,3.29,3.26,9.07,9.02,43.5,46.7,39,11,43.9,43.9,6.55,6.18
72932,2025/2/26 19:55:36,5.05,5.01,53,48,1.92,1.89,3.29,3.25,9.08,9.02,43.6,46.7,-30,-5,44.0,44.0,6.56,6.16
72933,2025/2/26 19:55:37,5.05,5.01,53,48,1.91,1.89,3.28,3.26,9.1,9.03,43.6,46.6,7,-44,43.9,43.9,6.59,6.17
72934,2025/2/26 19:55:37,5.05,5.01,53,48,1.91,1.89,3.28,3.25,9.09,9.03,43.5,46.7,-10,-7,43.9,43.9,6.53,6.16
72935,2025/2/26 19:55:38,5.05,5.0,53,48,1.91,1.89,3.29,3.25,9.09,9.03,43.5,46.7,65,218,43.9,44.0,6.53,6.18
72936,2025/2/26 19:55:38,5.05,5.0,53,48,1.91,1.89,3.28,3.25,9.08,9.03,43.5,46.7,-37,9,43.9,44.0,6.55,6.19
